"","player_name","player_url","Season","Age","Squad","Country","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"50","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2021-2022",34,"Paris S-G","FRA","Coupe de France",1.3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"51","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2021-2022",34,"Paris S-G","FRA","1. Ligue 1",23.9,10,3,1,5,4,3,13,23.1,10,5,0,5,4,14,0,0
"52","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2022-2023",35,"Paris S-G","","1. Champions Lg",6.8,4,4,1,2,1,0,3,0,3,3,0,3,3,7,0,0
"53","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2022-2023",35,"Paris S-G","FRA","Coupe de France",1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"54","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2022-2023",35,"Paris S-G","FRA","1. Ligue 1",31.5,26,18,1,13,12,11,27,40.7,16,11,0,11,2,28,0,0
"55","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2022-2023",35,"Paris S-G","FRA","Troph<U+00E9>e des Champions",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"56","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2023",35,"Inter Miami","USA","1. MLS",4.1,1,1,0,1,0,0,2,0,2,0,0,0,1,2,0,0
"57","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2024",36,"Inter Miami","USA","1. MLS",16.5,15,6,0,6,9,5,9,55.6,4,4,0,4,2,17,0,0
"58","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2002-2003",17,"Sporting CP","POR","1. Primeira Liga",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2002-2003",17,"Sporting CP","","2. UEFA Cup",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2003-2004",18,"Manchester Utd","","1. Champions Lg",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
